# taxon distribution range models
# data save on : 2023-10-04T15:06:02-03:00
taxon	type	age	equator	pixel	density
Catharus aurantiirostris	range	0	360	11822	0.236297
Catharus aurantiirostris	range	0	360	11823	0.193678
Catharus aurantiirostris	range	0	360	11824	0.147801
Catharus aurantiirostris	range	0	360	11825	0.001043
Catharus aurantiirostris	range	0	360	11826	0.000070
Catharus aurantiirostris	range	0	360	11827	0.000026
Catharus aurantiirostris	range	0	360	11828	0.000003
Catharus aurantiirostris	range	0	360	12138	0.000270
Catharus aurantiirostris	range	0	360	12139	0.000392
Catharus aurantiirostris	range	0	360	12140	0.077193
Catharus aurantiirostris	range	0	360	12141	0.000134
Catharus aurantiirostris	range	0	360	12142	0.001887
Catharus aurantiirostris	range	0	360	12143	0.238030
Catharus aurantiirostris	range	0	360	12144	0.314654
Catharus aurantiirostris	range	0	360	12145	0.389147
Catharus aurantiirostris	range	0	360	12146	0.425975
Catharus aurantiirostris	range	0	360	12147	0.436699
Catharus aurantiirostris	range	0	360	12148	0.433563
Catharus aurantiirostris	range	0	360	12149	0.421622
Catharus aurantiirostris	range	0	360	12150	0.367037
Catharus aurantiirostris	range	0	360	12151	0.293015
Catharus aurantiirostris	range	0	360	12152	0.002060
Catharus aurantiirostris	range	0	360	12153	0.000131
Catharus aurantiirostris	range	0	360	12154	0.000069
Catharus aurantiirostris	range	0	360	12155	0.000029
Catharus aurantiirostris	range	0	360	12156	0.000003
Catharus aurantiirostris	range	0	360	12468	0.000035
Catharus aurantiirostris	range	0	360	12469	0.077471
Catharus aurantiirostris	range	0	360	12470	0.000135
Catharus aurantiirostris	range	0	360	12471	0.000209
Catharus aurantiirostris	range	0	360	12472	0.003006
Catharus aurantiirostris	range	0	360	12473	0.414549
Catharus aurantiirostris	range	0	360	12474	0.506709
Catharus aurantiirostris	range	0	360	12475	0.570355
Catharus aurantiirostris	range	0	360	12476	0.611288
Catharus aurantiirostris	range	0	360	12477	0.630419
Catharus aurantiirostris	range	0	360	12478	0.605265
Catharus aurantiirostris	range	0	360	12479	0.532297
Catharus aurantiirostris	range	0	360	12480	0.436723
Catharus aurantiirostris	range	0	360	12481	0.000325
Catharus aurantiirostris	range	0	360	12482	0.000216
Catharus aurantiirostris	range	0	360	12483	0.000128
Catharus aurantiirostris	range	0	360	12484	0.000069
Catharus aurantiirostris	range	0	360	12485	0.000018
Catharus aurantiirostris	range	0	360	12486	0.000003
Catharus aurantiirostris	range	0	360	12803	0.000204
Catharus aurantiirostris	range	0	360	12804	0.000329
Catharus aurantiirostris	range	0	360	12805	0.459077
Catharus aurantiirostris	range	0	360	12806	0.597687
Catharus aurantiirostris	range	0	360	12807	0.713250
Catharus aurantiirostris	range	0	360	12808	0.792886
Catharus aurantiirostris	range	0	360	12809	0.831813
Catharus aurantiirostris	range	0	360	12810	0.798211
Catharus aurantiirostris	range	0	360	12811	0.726294
Catharus aurantiirostris	range	0	360	12812	0.627526
Catharus aurantiirostris	range	0	360	12813	0.004835
Catharus aurantiirostris	range	0	360	12814	0.000352
Catharus aurantiirostris	range	0	360	12815	0.000234
Catharus aurantiirostris	range	0	360	12816	0.000144
Catharus aurantiirostris	range	0	360	12817	0.000072
Catharus aurantiirostris	range	0	360	12818	0.000305
Catharus aurantiirostris	range	0	360	12819	0.000113
Catharus aurantiirostris	range	0	360	12820	0.000034
Catharus aurantiirostris	range	0	360	13138	0.000336
Catharus aurantiirostris	range	0	360	13139	0.005045
