# taxon distribution range models
# data save on : 2023-10-04T14:59:22-03:00
taxon	type	age	equator	pixel	density
Catharus fuscater	points	0	360	16977	1.000000
Catharus fuscater	points	0	360	17319	1.000000
Catharus fuscater	points	0	360	17320	1.000000
Catharus fuscater	points	0	360	17323	1.000000
Catharus fuscater	points	0	360	17331	1.000000
Catharus fuscater	points	0	360	17332	1.000000
Catharus fuscater	points	0	360	17677	1.000000
Catharus fuscater	points	0	360	17678	1.000000
Catharus fuscater	points	0	360	17681	1.000000
Catharus fuscater	points	0	360	17682	1.000000
Catharus fuscater	points	0	360	17686	1.000000
Catharus fuscater	points	0	360	17687	1.000000
Catharus fuscater	points	0	360	18038	1.000000
Catharus fuscater	points	0	360	18039	1.000000
Catharus fuscater	points	0	360	18042	1.000000
Catharus fuscater	points	0	360	18396	1.000000
Catharus fuscater	points	0	360	18397	1.000000
Catharus fuscater	points	0	360	18400	1.000000
Catharus fuscater	points	0	360	18754	1.000000
Catharus fuscater	points	0	360	18755	1.000000
Catharus fuscater	points	0	360	18756	1.000000
Catharus fuscater	points	0	360	18757	1.000000
Catharus fuscater	points	0	360	19114	1.000000
Catharus fuscater	points	0	360	19116	1.000000
Catharus fuscater	points	0	360	20190	1.000000
Catharus fuscater	points	0	360	20192	1.000000
Catharus fuscater	points	0	360	20550	1.000000
Catharus fuscater	points	0	360	20551	1.000000
Catharus fuscater	points	0	360	20910	1.000000
Catharus fuscater	points	0	360	20911	1.000000
Catharus fuscater	points	0	360	21270	1.000000
Catharus fuscater	points	0	360	21629	1.000000
Catharus fuscater	points	0	360	21989	1.000000
Catharus fuscater	points	0	360	21990	1.000000
Catharus fuscater	points	0	360	22348	1.000000
Catharus fuscater	points	0	360	22707	1.000000
Catharus fuscater	points	0	360	22708	1.000000
Catharus fuscater	points	0	360	22709	1.000000
Catharus fuscater	points	0	360	23065	1.000000
Catharus fuscater	points	0	360	23066	1.000000
Catharus fuscater	points	0	360	23423	1.000000
Catharus fuscater	points	0	360	23424	1.000000
Catharus fuscater	points	0	360	24136	1.000000
Catharus fuscater	points	0	360	24137	1.000000
Catharus fuscater	points	0	360	24491	1.000000
Catharus fuscater	points	0	360	24845	1.000000
Catharus fuscater	points	0	360	24847	1.000000
Catharus fuscater	points	0	360	25199	1.000000
Catharus fuscater	points	0	360	25200	1.000000
Catharus fuscater	points	0	360	25552	1.000000
Catharus fuscater	points	0	360	25901	1.000000
Catharus fuscater	points	0	360	26250	1.000000
Catharus fuscater	points	0	360	26596	1.000000
Catharus fuscater	points	0	360	26597	1.000000
Catharus fuscater	points	0	360	26941	1.000000
Catharus fuscater	points	0	360	26942	1.000000
Catharus fuscescens	points	0	360	3872	1.000000
Catharus fuscescens	points	0	360	4079	1.000000
Catharus fuscescens	points	0	360	4298	1.000000
Catharus fuscescens	points	0	360	4299	1.000000
Catharus fuscescens	points	0	360	4303	1.000000
Catharus fuscescens	points	0	360	4308	1.000000
Catharus fuscescens	points	0	360	4520	1.000000
Catharus fuscescens	points	0	360	4521	1.000000
Catharus fuscescens	points	0	360	4522	1.000000
Catharus fuscescens	points	0	360	4523	1.000000
Catharus fuscescens	points	0	360	4526	1.000000
Catharus fuscescens	points	0	360	4531	1.000000
Catharus fuscescens	points	0	360	4534	1.000000
Catharus fuscescens	points	0	360	4536	1.000000
Catharus fuscescens	points	0	360	4750	1.000000
Catharus fuscescens	points	0	360	4751	1.000000
Catharus fuscescens	points	0	360	4752	1.000000
Catharus fuscescens	points	0	360	4756	1.000000
Catharus fuscescens	points	0	360	4757	1.000000
Catharus fuscescens	points	0	360	4758	1.000000
Catharus fuscescens	points	0	360	4759	1.000000
Catharus fuscescens	points	0	360	4760	1.000000
Catharus fuscescens	points	0	360	4761	1.000000
Catharus fuscescens	points	0	360	4762	1.000000
Catharus fuscescens	points	0	360	4764	1.000000
Catharus fuscescens	points	0	360	4765	1.000000
Catharus fuscescens	points	0	360	4766	1.000000
Catharus fuscescens	points	0	360	4767	1.000000
Catharus fuscescens	points	0	360	4981	1.000000
Catharus fuscescens	points	0	360	4983	1.000000
Catharus fuscescens	points	0	360	4984	1.000000
Catharus fuscescens	points	0	360	4985	1.000000
Catharus fuscescens	points	0	360	4989	1.000000
Catharus fuscescens	points	0	360	4990	1.000000
Catharus fuscescens	points	0	360	4994	1.000000
Catharus fuscescens	points	0	360	4996	1.000000
Catharus fuscescens	points	0	360	4997	1.000000
Catharus fuscescens	points	0	360	4998	1.000000
Catharus fuscescens	points	0	360	5002	1.000000
Catharus fuscescens	points	0	360	5012	1.000000
Catharus fuscescens	points	0	360	5021	1.000000
Catharus fuscescens	points	0	360	5220	1.000000
Catharus fuscescens	points	0	360	5221	1.000000
Catharus fuscescens	points	0	360	5222	1.000000
Catharus fuscescens	points	0	360	5224	1.000000
Catharus fuscescens	points	0	360	5231	1.000000
Catharus fuscescens	points	0	360	5232	1.000000
Catharus fuscescens	points	0	360	5233	1.000000
Catharus fuscescens	points	0	360	5235	1.000000
Catharus fuscescens	points	0	360	5236	1.000000
Catharus fuscescens	points	0	360	5237	1.000000
Catharus fuscescens	points	0	360	5238	1.000000
Catharus fuscescens	points	0	360	5239	1.000000
Catharus fuscescens	points	0	360	5251	1.000000
Catharus fuscescens	points	0	360	5254	1.000000
Catharus fuscescens	points	0	360	5255	1.000000
Catharus fuscescens	points	0	360	5259	1.000000
Catharus fuscescens	points	0	360	5461	1.000000
Catharus fuscescens	points	0	360	5462	1.000000
Catharus fuscescens	points	0	360	5466	1.000000
Catharus fuscescens	points	0	360	5467	1.000000
Catharus fuscescens	points	0	360	5476	1.000000
Catharus fuscescens	points	0	360	5477	1.000000
Catharus fuscescens	points	0	360	5478	1.000000
